iter	Passed	Remaining
178	513	2354
179	514	2345
180	516	2338
181	518	2332
182	521	2326
183	524	2324
184	525	2315
185	527	2307
186	529	2300
187	531	2297
188	534	2292
189	537	2292
190	541	2293
191	543	2287
192	547	2289
193	551	2291
194	554	2287
195	556	2280
196	557	2272
197	559	2264
198	561	2259
199	563	2253
200	565	2246
201	567	2240
202	568	2232
203	570	2225
204	571	2217
205	573	2210
206	575	2204
207	578	2200
208	579	2192
209	580	2185
210	582	2177
211	583	2170
212	585	2162
213	586	2153
214	588	2147
215	591	2147
216	594	2144
217	596	2139
218	598	2133
219	600	2129
220	602	2122
221	603	2115
222	605	2109
223	608	2108
224	609	2100
225	611	2094
226	613	2088
227	614	2082
228	617	2077
229	618	2070
230	622	2073
231	624	2068
232	626	2061
233	627	2054
234	628	2047
235	630	2040
236	631	2033
237	633	2026
238	634	2020
239	637	2017
240	639	2012
241	640	2006
242	641	1999
243	642	1992
244	644	1985
245	645	1978
246	646	1971
247	648	1965
248	649	1958
249	650	1952
250	652	1947
251	653	1940
252	654	1933
253	656	1927
254	657	1920
255	658	1913
256	659	1907
257	660	1900
258	662	1894
259	663	1888
260	664	1882
261	667	1879
262	668	1873
263	669	1867
264	670	1861
265	672	1854
266	673	1848
267	674	1843
268	676	1837
269	677	1831
270	678	1826
271	680	1822
272	682	1817
273	683	1811
274	684	1805
275	686	1799
276	687	1793
277	688	1788
278	689	1782
279	691	1777
280	692	1771
281	693	1765
282	696	1764
283	697	1758
284	698	1753
285	699	1747
286	701	1741
287	702	1736
288	703	1730
289	704	1725
290	705	1719
291	706	1713
292	707	1708
293	709	1704
294	711	1699
295	712	1694
296	713	1688
297	714	1683
298	715	1677
299	716	1672
300	717	1666
301	718	1661
302	719	1655
303	720	1650
304	721	1644
305	723	1639
306	727	1642
307	731	1643
308	735	1644
309	739	1645
310	746	1652
311	750	1654
312	754	1655
313	757	1655
314	762	1658
315	766	1658
316	769	1658
317	773	1658
318	777	1660
319	781	1660
320	785	1660
321	789	1662
322	793	1663
323	797	1663
324	800	1661
325	802	1659
326	805	1657
327	807	1654
328	809	1651
329	811	1647
330	813	1644
331	815	1640
332	816	1635
333	818	1631
334	819	1627
335	821	1622
336	822	1618
337	823	1613
338	824	1608
339	825	1603
340	827	1598
341	828	1593
342	829	1588
343	830	1583
344	831	1578
345	832	1573
346	833	1568
347	834	1564
348	835	1559
349	836	1554
350	837	1549
351	838	1544
352	839	1539
353	840	1533
354	841	1528
355	842	1523
356	843	1518
357	844	1513
358	845	1508
359	845	1503
360	847	1499
361	848	1494
362	849	1490
363	850	1485
364	851	1480
365	851	1475
366	852	1470
367	853	1466
368	854	1461
369	855	1456
370	856	1452
371	857	1447
372	858	1442
373	859	1438
374	860	1433
375	860	1428
376	861	1424
377	863	1420
378	863	1415
379	864	1410
380	865	1406
381	866	1401
382	867	1397
383	868	1392
384	869	1388
385	869	1383
386	870	1379
387	871	1374
388	872	1370
389	873	1366
390	874	1361
391	875	1357
392	875	1352
393	876	1348
394	877	1344
395	879	1341
396	880	1336
397	881	1332
398	881	1328
399	882	1324
400	883	1320
401	884	1315
402	885	1311
403	886	1307
404	887	1303
405	888	1299
406	888	1295
407	889	1290
408	890	1286
409	891	1282
410	892	1279
411	893	1275
412	894	1271
413	895	1267
414	896	1263
415	897	1259
416	898	1255
417	898	1251
418	899	1247
419	900	1243
420	901	1239
421	902	1235
422	903	1232
423	904	1228
424	904	1224
425	905	1220
426	906	1216
427	907	1213
428	908	1209
429	909	1205
430	910	1202
431	911	1198
432	912	1194
433	913	1190
434	914	1187
435	914	1183
436	915	1179
437	916	1176
438	917	1172
439	918	1168
440	919	1165
441	919	1161
442	920	1157
443	921	1154
444	922	1151
445	923	1147
446	924	1143
447	925	1140
448	926	1136
449	927	1133
450	928	1129
451	928	1126
452	929	1122
453	930	1119
454	931	1115
